Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Why does work cause fatigue? A real-time investigation of fatigue, and determinants of fatigue in nurses working 12-hour shifts.",/pubmed/30124742,"Johnston DW, Allan JL, Powell DJH, Jones MC, Farquharson B, Bell C, Johnston M.",Ann Behav Med. 2018 Aug 16. doi: 10.1093/abm/kay065. [Epub ahead of print],Ann Behav Med.  2018,PubMed,citation,PMID:30124742,pubmed,30124742,create date:2018/08/21 | first author:Johnston DW
Day-to-day variations in daily rest periods between working days and recovery from fatigue among information technology workers: One-month observational study using a fatigue app.,/pubmed/30122731,"Kubo T, Izawa S, Tsuchiya M, Ikeda H, Miki K, Takahashi M.",J Occup Health. 2018 Aug 17. doi: 10.1539/joh.2018-0073-OA. [Epub ahead of print],J Occup Health.  2018,PubMed,citation,PMID:30122731,pubmed,30122731,create date:2018/08/21 | first author:Kubo T
Is fatigue a cause of work disability in systemic lupus erythematosus? Results from a systematic literature review.,/pubmed/30058699,"Basta F, Margiotta DPE, Vadacca M, Vernuccio A, Mazzuca C, Picchianti Diamanti A, Afeltra A.",Eur Rev Med Pharmacol Sci. 2018 Jul;22(14):4589-4597. doi: 10.26355/eurrev_201807_15516.,Eur Rev Med Pharmacol Sci.  2018,PubMed,citation,PMID:30058699,pubmed,30058699,create date:2018/07/31 | first author:Basta F
Impact of comorbidities on fatigue in rheumatoid arthritis patients: Results from a nurse-led program for comorbidities management (COMEDRA).,/pubmed/30025953,"Tournadre A, Pereira B, Gossec L, Soubrier M, Dougados M.",Joint Bone Spine. 2018 Jul 17. pii: S1297-319X(18)30138-6. doi: 10.1016/j.jbspin.2018.06.010. [Epub ahead of print],Joint Bone Spine.  2018,PubMed,citation,PMID:30025953,pubmed,30025953,create date:2018/07/22 | first author:Tournadre A
"Fatigue Incident Antecedents, Consequences, and Aviation Operational Risk Management Resources.",/pubmed/30020055,"Morris MB, Wiedbusch MD, Gunzelmann G.",Aerosp Med Hum Perform. 2018 Aug 1;89(8):708-716. doi: 10.3357/AMHP.5019.2018.,Aerosp Med Hum Perform.  2018,PubMed,citation,PMID:30020055,pubmed,30020055,create date:2018/07/19 | first author:Morris MB
"A German version of the Three-Dimensional Work Fatigue Inventory (3D-WFI): Factor structure, internal consistency, and correlates.",/pubmed/29993178,"Frone MR, Reis D, Ottenstein C.",Stress Health. 2018 Jul 11. doi: 10.1002/smi.2828. [Epub ahead of print],Stress Health.  2018,PubMed,citation,PMID:29993178,pubmed,29993178,create date:2018/07/12 | first author:Frone MR
Accuracy of the defining characteristics of the nursing diagnosis for fatigue in women under radiotherapy.,/pubmed/29972546,"Rocha SR, Santos MCL, Lopes MVO, Rodrigues AB, Sousa VEC, Aquino CBQ, Mendes CRS.","Rev Bras Enferm. 2018;71(suppl 3):1445-1452. doi: 10.1590/0034-7167-2017-0549. English, Portuguese. ",Rev Bras Enferm.  2018,PubMed,citation,PMID:29972546,pubmed,29972546,create date:2018/07/05 | first author:Rocha SR
Survey of occupational fatigue in anaesthetists in Australia and New Zealand.,/pubmed/29966116,"Stuetzle KV, Pavlin BI, Smith NA, Weston KM.",Anaesth Intensive Care. 2018 Jul;46(4):414-423.,Anaesth Intensive Care.  2018,PubMed,citation,PMID:29966116,pubmed,29966116,create date:2018/07/03 | first author:Stuetzle KV
"Musculoskeletal discomfort, work ability and fatigue in nursing professionals working in a hospital environment.",/pubmed/29898170,"Silva TPDD, Araújo WN, Stival MM, Toledo AM, Burke TN, Carregaro RL.","Rev Esc Enferm USP. 2018 Jun 11;52:e03332. doi: 10.1590/S1980-220X2017022903332. Portuguese, English, Spanish. ",Rev Esc Enferm USP.  2018,PubMed,citation,PMID:29898170,pubmed,29898170,create date:2018/06/14 | first author:Silva TPDD
"The association of fatigue, pain, depression and anxiety with work and activity impairment in immune mediated inflammatory diseases.",/pubmed/29879231,"Enns MW, Bernstein CN, Kroeker K, Graff L, Walker JR, Lix LM, Hitchon CA, El-Gabalawy R, Fisk JD, Marrie RA; CIHR Team in Defining the Burden and Managing the Effects of Psychiatric Comorbidity in Chronic Immunoinflammatory Disease..",PLoS One. 2018 Jun 7;13(6):e0198975. doi: 10.1371/journal.pone.0198975. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29879231 | PMCID:PMC5991721,pubmed,29879231,create date:2018/06/08 | first author:Enns MW
